evidence_scenario,dataset_id,evaluation_scope,model_name,component_arm,reference_arm,metric,arm_value,reference_value,delta_arm_minus_full
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,alert_rate,0.07024426907177753,0.06424652386320932,0.005997745208568203
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,human_review_rate,0.01851935362645622,0.013092822247275461,0.005426531379180758
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,abstain_rate,0.3757685080796693,0.3811950394588501,-0.00542653137918081
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,no_action_rate,0.535467869222097,0.5414656144306652,-0.005997745208568217
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,event_coverage_by_alert,0.09740430858422822,0.0885104420581066,0.008893866526121619
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,alert_precision,0.6327840787502675,0.6286850725315863,0.0040990062186812
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,false_alerts_per_100,2.579481397970688,2.3855693348365277,0.1939120631341602
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,event_coverage_by_human_review,0.02279465050398577,0.01340668028196851,0.00938797022201726
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,non_event_human_reviews_per_100,0.8117249154453213,0.6974821495678316,0.11424276587748972
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,auto_capacity_blocks_per_100,34.60353250657648,35.2033070274333,-0.599774520856819
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,review_capacity_overflow_abstentions_per_100,7.084554678692221,7.627207816610297,-0.5426531379180757
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,alert_rate,0.07131153701615933,0.06424652386320932,0.007065013152950009
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,human_review_rate,0.013528748590755355,0.013092822247275461,0.0004359263434798935
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,abstain_rate,0.09166478767380684,0.3811950394588501,-0.2895302517850432
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,no_action_rate,0.8234949267192785,0.5414656144306652,0.2820293122886133
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,event_coverage_by_alert,0.09615257922129257,0.0885104420581066,0.007642137163185972
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,alert_precision,0.6153035413153457,0.6286850725315863,-0.013381531216240639
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,false_alerts_per_100,2.7433295753476137,2.3855693348365277,0.357760240511086
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,event_coverage_by_human_review,0.014361947427366756,0.01340668028196851,0.0009552671453982465
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,non_event_human_reviews_per_100,0.6974821495678316,0.6974821495678316,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,auto_capacity_blocks_per_100,63.40623825629463,35.2033070274333,28.20293122886133
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,review_capacity_overflow_abstentions_per_100,9.166478767380683,7.627207816610297,1.5392709507703861
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,capacity_off,full_controls,alert_rate,0.29082299887260427,0.07116121758737316,0.21966178128523112
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,capacity_off,full_controls,human_review_rate,0.08983089064261555,0.018384066140548667,0.07144682450206688
