scope,model_name,outer_fold,prompt_threshold,n_decisions,n_positive,n_alert,n_human_review,n_abstain,n_no_action,n_action_routes,n_true_action_routes,n_false_action_routes,n_true_alerts,n_false_alerts,n_auto_capacity_blocks,n_review_capacity_overflow_abstentions,alert_rate,human_review_rate,abstain_rate,no_action_rate,action_route_rate,event_coverage_by_action,action_precision,false_actions_per_100,event_coverage_by_alert,alert_precision,false_alerts_per_100,auto_capacity_blocks_per_100,route_rate_sum
outer_training_history_exact,history_baseline,0,0.67,53190,24059,1731,722,20049,30688,2453,1694,759,1263,468,4436,3520,0.03254371122391427,0.013573980071442001,0.3769317540891145,0.5769505546155292,0.04611769129535627,0.07041024148967122,0.6905829596412556,1.4269599548787366,0.05249594746248805,0.729636048526863,0.8798646362098139,8.339913517578493,1.0
outer_training_history_exact,history_baseline,0,0.68,53190,24059,1661,708,19737,31084,2369,1647,722,1221,440,4106,3208,0.031227674374882497,0.013310772701635646,0.3710659898477157,0.5843955630757661,0.04453844707651814,0.06845671058647491,0.6952300548754748,1.3573980071442,0.050750238995801986,0.7350993377483444,0.827223162248543,7.7194961458920845,0.9999999999999999
outer_training_history_exact,history_baseline,0,0.69,53190,24059,1575,704,19600,31311,2279,1599,680,1179,396,3732,3071,0.02961082910321489,0.013235570595976687,0.3684903177288964,0.588663282571912,0.04284639969919158,0.06646161519597656,0.701623519087319,1.2784357962022936,0.04900453052911592,0.7485714285714286,0.7445008460236887,7.016356457980823,1.0
outer_training_history_exact,history_baseline,0,0.7,53190,24059,1494,492,19026,32178,1986,1452,534,1115,379,3390,2497,0.02808798646362098,0.00924985899605189,0.35769881556683586,0.6049633389734913,0.03733784545967287,0.060351635562575334,0.7311178247734139,1.0039481105470953,0.04634440334178478,0.7463186077643909,0.7125399511186313,6.373378454596729,1.0
outer_training_history_exact,history_baseline,0,0.71,53190,24059,1404,493,18951,32342,1897,1377,520,1051,353,3116,2422,0.026395939086294416,0.00926865952246663,0.3562887760857304,0.6080466253055086,0.03566459860876105,0.05723429901492165,0.7258829731154455,0.9776273735664599,0.04368427615445363,0.7485754985754985,0.6636585824403083,5.858244030832863,1.0
outer_training_history_exact,history_baseline,0,0.72,53190,24059,1137,473,18505,33075,1610,1210,400,893,244,2739,1976,0.02137619853355894,0.008892648994171836,0.34790374130475654,0.6218274111675127,0.030268847527730777,0.05029302963547945,0.7515527950310559,0.7520210565895845,0.037117087160729874,0.7854001759014951,0.4587328445196466,5.14946418499718,1.0
outer_training_history_exact,history_baseline,0,0.73,53190,24059,1107,546,18394,33143,1653,1205,448,864,243,2622,1865,0.02081218274111675,0.01026508742244783,0.34581688287272044,0.623105846963715,0.03107727016356458,0.0500852071989692,0.7289776164549304,0.8422635833803347,0.03591171702897045,0.7804878048780488,0.45685279187817257,4.929498025944726,0.9999999999999999
outer_training_history_exact,history_baseline,0,0.74,53190,24059,1030,528,18342,33290,1558,1129,429,802,228,2395,1813,0.0193645422071818,0.009926677946982515,0.34483925549915395,0.6258695243466817,0.029291220154164316,0.046926306164013463,0.7246469833119383,0.8065425831923294,0.0333347188162434,0.7786407766990291,0.42865200225606315,4.502726076330137,1.0
outer_training_history_exact,history_baseline,0,0.75,53190,24059,977,499,18177,33537,1476,1077,399,771,206,2179,1648,0.018368114307200603,0.009381462680955067,0.34173716864072196,0.6305132543711224,0.02774957698815567,0.04476495282430691,0.7296747967479674,0.7501410039481106,0.03204621970987988,0.789150460593654,0.387290844143636,4.096634705771762,1.0
outer_training_history_exact,history_baseline,0,0.76,53190,24059,906,479,18089,33716,1385,1016,369,717,189,1937,1560,0.01703327693175409,0.009005452152660274,0.34008272231622483,0.6338785485993608,0.026038729084414364,0.04222951909888192,0.7335740072202166,0.6937394247038917,0.029801737395569225,0.7913907284768212,0.3553299492385787,3.641661966535063,0.9999999999999999
outer_training_history_exact,history_baseline,0,0.77,53190,24059,754,462,17963,34011,1216,884,332,594,160,1582,1434,0.014175596916713667,0.0086858432036097,0.33771385598796766,0.639424703891709,0.02286144012032337,0.03674300677501143,0.7269736842105263,0.6241774769693551,0.024689305457417182,0.7877984084880637,0.3008084226358338,2.974243278811807,1.0
outer_training_history_exact,history_baseline,0,0.78,53190,24059,732,355,17907,34196,1087,832,255,581,151,1410,1378,0.013761985335589396,0.006674186877232562,0.33666102650874224,0.6429028012784358,0.02043617221282196,0.03458165343530487,0.765409383624655,0.47941342357586014,0.024148967122490542,0.7937158469945356,0.28388794886256813,2.6508742244782852,0.9999999999999999
outer_training_history_exact,history_baseline,0,0.79,53190,24059,685,351,18012,34142,1036,795,241,549,136,1210,1483,0.012878360594096635,0.006598984771573604,0.3386350817822899,0.6418875728520399,0.019477345365670237,0.03304376740512906,0.7673745173745173,0.45309268659522467,0.02281890352882497,0.8014598540145985,0.2556871592404587,2.274863696183493,1.0
outer_training_history_exact,history_baseline,0,0.8,53190,24059,649,318,17933,34290,967,755,212,525,124,1054,1404,0.012201541643166008,0.005978567399887197,0.33714984019552546,0.6446700507614214,0.018180109043053207,0.031381187913047094,0.7807652533609101,0.3985711599924798,0.021821355833575792,0.8089368258859785,0.2331265275427712,1.981575484113555,1.0
outer_training_history_exact,history_baseline,0,0.81,53190,24059,530,337,17915,34408,867,712,155,434,96,903,1386,0.009964278999811995,0.00633577740176725,0.33681143072006015,0.6468885128783606,0.016300056401579246,0.02959391495905898,0.8212226066897347,0.291408159428464,0.01803898748908932,0.8188679245283019,0.18048505358150027,1.697687535250987,1.0
outer_training_history_exact,history_baseline,0,0.82,53190,24059,491,328,17734,34637,819,666,153,403,88,796,1205,0.00923105846963715,0.006166572664034593,0.3334085354389923,0.6511938334273359,0.015397631133671742,0.02768194854316472,0.8131868131868132,0.2876480541455161,0.0167504883827258,0.8207739307535642,0.16544463244970858,1.4965219026132732,1.0
